id,name,price,publisher_id,publication_date,isbn10,isbn13,detail_info,image_url,created_at,updated_at,active,link,author,isbn,publisher
1,"위풍당당 여우 꼬리 2: 알쏭달쏭 우정 테스트(양장본 HardCover)",12000,1,2022-02-25,893644817X,9788936448172,"오른 ‘위풍당당 여우 꼬리’ 시리즈가 두 번째 이야기로 돌아왔다. 평범한 열한 살 소녀지만 실은 몸속에 구미호의 피가 흐르는 단미가 이번에는 친구 관계 때문에 고민에 빠진다. 4학년 여름 방학이 한창인 어느 날, 어쩐지 마음에 안 드는 윤나가 단미에게 불쑥 초대장을 보낸다. 하필 단짝 친구 루미와의 사이가 덜컹거리는 이때에 무슨 일일까? 어긋난 관계 때문에 세상이 무너지고, 외롭고, 쓸쓸하고, 화가 나고, 답답한 느낌만 가득한데 말이다! 단미는 수상한 우정",https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F6008218%3Ftimestamp%3D20220617011933,"2022-06-24 14:14:37",NULL,1,https://search.daum.net/search?w=bookpage&bookId=6008218&q=%EC%9C%84%ED%92%8D%EB%8B%B9%EB%8B%B9+%EC%97%AC%EC%9A%B0+%EA%BC%AC%EB%A6%AC+2%3A+%EC%95%8C%EC%8F%AD%EB%8B%AC%EC%8F%AD+%EC%9A%B0%EC%A0%95+%ED%85%8C%EC%8A%A4%ED%8A%B8%28%EC%96%91%EC%9E%A5%EB%B3%B8+HardCover%29,NULL,NULL,NULL
2,"Do it! 알고리즘 코딩 테스트: 자바 편",32000,3,2022-04-05,1163033448,9791163033448,"“코딩 테스트는 어떻게 준비해야 할까?” 곧 코딩 테스트를 앞두고 있거나 올해 안에 IT 기업으로 취업 또는 이직을 준비하고 있다면 누구나 이런 고민을 할 것이다. 《Do it! 알고리즘 코딩 테스트 - 자바 편》에 그 답이 있다. 개발 12년, 강의 5년 동안 쌓은 저자의 내공으로 네이버, 카카오, 삼성 등 주요 IT 기업의 기출 문제를 분석하여 앞으로 출제가 될 만한 알고리즘 영역을 엄선해 책을 구성했다. 또한 역대 기출 유형을 모두 아우르는 알고리즘",https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F6045006%3Ftimestamp%3D20220617012004,"2022-06-24 14:14:54",NULL,1,https://search.daum.net/search?w=bookpage&bookId=6045006&q=Do+it%21+%EC%95%8C%EA%B3%A0%EB%A6%AC%EC%A6%98+%EC%BD%94%EB%94%A9+%ED%85%8C%EC%8A%A4%ED%8A%B8%3A+%EC%9E%90%EB%B0%94+%ED%8E%B8,NULL,NULL,NULL
3,"해커스 보카 중학 고난도 + 미니암기장 + 누적 테스트북 세트",11000,2,2021-10-11,8965424003,9788965424000,"해커스 보카 중학 고난도〉, 중고등 영어도 역시 1위 해커스입니다.  중학생이 꼭 알아야 할 필수 단어/숙어 1,200개를 쉽고 빠르게 40일만에 완성할 수 있는 교재입니다. 중학교 최신 개정 교과서의 빈출 어휘 및 교육부 지정 권장 어휘를 엄선하였으며, 연관된 단어끼리 모아 학습할 수 있는 주제별 구성의 연상 학습 효과를 통해 단어를 더 쉽고 빠르게 외울 수 있습니다.  단어의 뜻을 이미지화 한 ‘Picture review’를 통해 재미있게 학습할 수 있을",https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F5493481%3Ftimestamp%3D20220617012134,"2022-06-24 14:15:06",NULL,1,https://search.daum.net/search?w=bookpage&bookId=5493481&q=%ED%95%B4%EC%BB%A4%EC%8A%A4+%EB%B3%B4%EC%B9%B4+%EC%A4%91%ED%95%99+%EA%B3%A0%EB%82%9C%EB%8F%84+%2B+%EB%AF%B8%EB%8B%88%EC%95%94%EA%B8%B0%EC%9E%A5+%2B+%EB%88%84%EC%A0%81+%ED%85%8C%EC%8A%A4%ED%8A%B8%EB%B6%81+%EC%84%B8%ED%8A%B8,NULL,NULL,NULL
4,"코딩 테스트로 시작하는 파이썬 프로그래밍",24000,4,2022-04-25,8931466013,9788931466010,"세계 프로그래밍 대회 기출문제로 익히는 파이썬 프로그래밍 프로그래밍 평가 사이트를 활용한 최고의 코딩 학습  프로그래밍 경진대회에 출제된 흥미로운 문제들을 풀어가는 과정에서 파이썬 핵심 개념과 프로그래밍 기술을 배웁니다. DMOJ, Timus, USACO 프로그래밍 평가 사이트에 실린 문제들로 구성되어 있어, 웹사이트에 솔루션을 제출한 후 그에 대한 피드백을 빠르게 제공받을 수 있습니다.  컴퓨터는 올바른 명령만 주어지면 거의 모든 문제를 해결할",https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F6058631%3Ftimestamp%3D20220617011316,"2022-06-24 14:15:11",NULL,1,https://search.daum.net/search?w=bookpage&bookId=6058631&q=%EC%BD%94%EB%94%A9+%ED%85%8C%EC%8A%A4%ED%8A%B8%EB%A1%9C+%EC%8B%9C%EC%9E%91%ED%95%98%EB%8A%94+%ED%8C%8C%EC%9D%B4%EC%8D%AC+%ED%94%84%EB%A1%9C%EA%B7%B8%EB%9E%98%EB%B0%8D,NULL,NULL,NULL
5,"사랑해 사랑해 사랑해(I LOVE 그림책)(양장본 HardCover)",10500,5,2019-03-25,8990794528,9788990794529,"세상에 오직 하나뿐인 소중하고 사랑스러운 우리 아이를 위한 그림책 『사랑해 사랑해 사랑해』. 아이를 사랑하는 엄마의 마음을 표현한 그림책입니다. 아이의 있는 모습 그대로를 사랑하는 엄마의 마음을 캐롤라인 제인 처치의 특유의 귀엽고 앙증맞은 그림으로 그려냈습니다. 엄마의 사랑을 온전히 느낄 수 있는 따뜻하고 사랑스러운 그림책입니다.  엄마는 아이를 언제 사랑할까요? 이 책은 '어제도, 오늘도, 내일도 언제까지나 너를 사랑해.'라고 말합니다. 엄마는",https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F1327561%3Ftimestamp%3D20220617011342,"2022-06-24 14:15:22",NULL,1,https://search.daum.net/search?w=bookpage&bookId=1327561&q=%EC%82%AC%EB%9E%91%ED%95%B4+%EC%82%AC%EB%9E%91%ED%95%B4+%EC%82%AC%EB%9E%91%ED%95%B4%28I+LOVE+%EA%B7%B8%EB%A6%BC%EC%B1%85%29%28%EC%96%91%EC%9E%A5%EB%B3%B8+HardCover%29,NULL,NULL,NULL
6,"사랑해 사랑해 사랑해(출간 15주년 기념판)(사랑해 보드북 1)(보드북)",11800,5,2021-12-30,8961708538,9788961708531,"처음 나온 지 어느덧 15년! 그동안 『사랑해 사랑해 사랑해』는 2000년대 이후 우리나라 독자들에게 가장 널리 사랑받는 그림책이 되었다. 아기가 있는 집이면, 몇 집 건너 한 집은 꼭 갖고 있다는 『사랑해 사랑해 사랑해』는 ‘국민 그림책’이라는 닉네임을 얻으며 우리 아이들의 성장과 늘 함께해왔다. 엄마의 무릎에 앉아 “사랑해, 사랑해, 우리 아가를 사랑해.”라는 낭랑한 목소리를 듣고 자란 아이들은 어느덧 성년을 앞두고 있다. 그리고 0세 아기부터",https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F5896480%3Ftimestamp%3D20220617013806,"2022-06-24 14:15:22",NULL,1,https://search.daum.net/search?w=bookpage&bookId=5896480&q=%EC%82%AC%EB%9E%91%ED%95%B4+%EC%82%AC%EB%9E%91%ED%95%B4+%EC%82%AC%EB%9E%91%ED%95%B4%28%EC%B6%9C%EA%B0%84+15%EC%A3%BC%EB%85%84+%EA%B8%B0%EB%85%90%ED%8C%90%29%28%EC%82%AC%EB%9E%91%ED%95%B4+%EB%B3%B4%EB%93%9C%EB%B6%81+1%29%28%EB%B3%B4%EB%93%9C%EB%B6%81%29,NULL,NULL,NULL
7,"사랑해 사랑해 사랑해",12000,72,2012-03-01,8996643912,9788996643913,"『사랑해 사랑해 사랑해』는 성경 아가서를 통해 깨달은 감동과 은혜를 정리한 설교집이다. 이스라엘의 문화적 배경을 바탕으로 그리스도가 우리를 얼마나 사랑하는지를 알려준다. 이를 통해 하나님의 사랑을 느낄 수 있을 것이다.",https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F1466147%3Ftimestamp%3D20210802141354,"2022-06-24 14:15:22",NULL,1,https://search.daum.net/search?w=bookpage&bookId=1466147&q=%EC%82%AC%EB%9E%91%ED%95%B4+%EC%82%AC%EB%9E%91%ED%95%B4+%EC%82%AC%EB%9E%91%ED%95%B4,NULL,NULL,NULL
8,"사랑하라 한번도 상처받지 않은 것처럼",9500,6,2008-10-24,8995501472,9788995501474,"외눈박이 물고기의 사랑》의 저자이며 잠언 시집 《지금 알고 있는 걸 그때도 알았더라면》을 소개해 ‘엮은 시집’이라는 새로운 지평을 연 류시화 시인이 이번에는 힐링 포엠을 주제로 한 권의 시집을 엮어 출간했다.  시집 『사랑하라 한번도 상처받지 않은 것처럼』은 고대 이집트 파피루스 서기관에서부터 노벨 문학상 수상자에 이르기까지 41세기에 걸쳐 시대를 넘나드는 유명, 무명 시인들의 시를 수록한 책이다. 잠언 시집 《지금 알고 있는 걸 그때도 알았더라면》 이후 8",https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F1442707%3Ftimestamp%3D20220617014051,"2022-06-24 14:15:26",NULL,1,https://search.daum.net/search?w=bookpage&bookId=1442707&q=%EC%82%AC%EB%9E%91%ED%95%98%EB%9D%BC+%ED%95%9C%EB%B2%88%EB%8F%84+%EC%83%81%EC%B2%98%EB%B0%9B%EC%A7%80+%EC%95%8A%EC%9D%80+%EA%B2%83%EC%B2%98%EB%9F%BC,NULL,NULL,NULL
9,"사랑 후에 오는 것들(공지영)(중판)(양장본 HardCover)",12000,7,2013-02-08,8973818694,9788973818693,"섬세한 문장으로 공감대를 형성하는 작가 공지영과 《냉정과 열정사이》의 작가 츠지 히토나리가 공동집필한 소설. 한국과 일본의 젊은이를 주인공으로 문화와 언어의 차이, 남자와 여자 사이에 발생하는 오해를 소재로 순수한 사랑 이야기를 담았다.  한국 여성인 홍이와 일본 남성인 준고, 이 두 젊은 남녀의 사랑 이야기를 츠지 히토나리는 남자의 시선으로, 공지영은 여자의 시선으로 내면과 상황을 담아내고 있다. 두 권의 책을 통해 서로의 이야기가 씨실과 날실",https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F1027481%3Ftimestamp%3D20220617023043,"2022-06-24 14:15:30",NULL,1,https://search.daum.net/search?w=bookpage&bookId=1027481&q=%EC%82%AC%EB%9E%91+%ED%9B%84%EC%97%90+%EC%98%A4%EB%8A%94+%EA%B2%83%EB%93%A4%28%EA%B3%B5%EC%A7%80%EC%98%81%29%28%EC%A4%91%ED%8C%90%29%28%EC%96%91%EC%9E%A5%EB%B3%B8+HardCover%29,NULL,NULL,NULL
10,"사랑 후에 오는 것들(츠지 히토나리)(양장본 HardCover)",12000,7,2013-02-08,8973818708,9788973818709,"섬세한 문장으로 공감대를 형성하는 작가 공지영과 《냉정과 열정사이》의 작가 츠지 히토나리가 공동집필한 소설. 한국과 일본의 젊은이를 주인공으로 문화와 언어의 차이, 남자와 여자 사이에 발생하는 오해를 소재로 순수한 사랑 이야기를 담았다.  한국 여성인 홍이와 일본 남성인 준고, 이 두 젊은 남녀의 사랑 이야기를 츠지 히토나리는 남자의 시선으로, 공지영은 여자의 시선으로 내면과 상황을 담아내고 있다. 두 권의 책을 통해 서로의 이야기가 씨실과 날실",https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F1027125%3Ftimestamp%3D20220617023527,"2022-06-24 14:15:30",NULL,1,https://search.daum.net/search?w=bookpage&bookId=1027125&q=%EC%82%AC%EB%9E%91+%ED%9B%84%EC%97%90+%EC%98%A4%EB%8A%94+%EA%B2%83%EB%93%A4%28%EC%B8%A0%EC%A7%80+%ED%9E%88%ED%86%A0%EB%82%98%EB%A6%AC%29%28%EC%96%91%EC%9E%A5%EB%B3%B8+HardCover%29,NULL,NULL,NULL
